Phrase,Neighbours
3d computer graphics,"computer graphics, 3d coordinate system, graphics processing unit, information graphics, 3d user interaction, 3d user interaction system, 3d user interaction systems, 3d user interaction techniques, computer vision, digital computer"
3d coordinate system,"3d computer graphics, 3d core graphics system, graphics system, 3d user interaction system, 3d user interaction systems, computational system, 3d user interaction, linear system, system matrix, multimodal system"
3d core graphics system,"graphics system, 3d coordinate system, graphics processing unit, 3d user interaction system, core algorithms, single core processors, single core cpu, computational system, software system, linear system"
3d user interaction,"3d user interaction techniques, 3d user interaction system, 3d user interaction systems, computer interaction, humancomputer interaction, user interfaces, user interface, user interface structure, User interface design, user interface design"
3d user interaction system,"3d user interaction systems, 3d user interaction, 3d user interaction techniques, computer interaction, user interfaces, user interface, humancomputer interaction, user interface software, User interface design, user interface design"
3d user interaction systems,"3d user interaction system, 3d user interaction, 3d user interaction techniques, computer interaction, humancomputer interaction, 3d computer graphics, chi-square automatic interaction detection, function interaction, embedded systems, 3d coordinate system"
3d user interaction techniques,"3d user interaction, 3d user interaction system, 3d user interaction systems, user interfaces, computer interaction, humancomputer interaction, user interface, user interface structure, User interface design, user interface design"
abstract algebra,"linear algebra, relational algebra, abstract algorithms, numerical linear algebra, computer algebra, abstract data types, abstract framework, abstract data type, abstract machines, computer algebra systems"
abstract algorithms,"efficient algorithms, abstract machines, online algorithms, core algorithms, abstract algebra, approximation algorithms, evolutionary algorithms, abstract framework, standard computer algorithms, distributed algorithms"
abstract data structures,"data structures, arbitrary data structures, data structure, data abstraction, abstract data types, structured data, abstract data type, structured data sets, abstract graphical data type, abstract framework"
abstract data type,"abstract data types, abstract graphical data type, abstract data structures, data abstraction, abstract framework, data type, primitive data types, abstract document pattern, abstract algebra, structured data"
abstract data types,"abstract data type, abstract graphical data type, abstract data structures, data abstraction, abstract framework, data type, primitive data types, abstract document pattern, abstract algebra, structured data"
abstract document pattern,"abstract framework, abstract data type, abstract data types, abstract data structures, abstract algebra, abstract algorithms, abstract graphical data type, abstract machines, template method pattern, abstract state machine"
abstract framework,"abstract data type, abstract document pattern, abstract data types, abstract data structures, abstract machines, computational framework, extensible text framework, abstract algorithms, runtime framework, abstract state machine"
abstract graphical data type,"abstract data type, abstract data types, abstract data structures, data abstraction, data type, abstract framework, graphical model, primitive data types, data visualization, structured data"
abstract machines,"abstract state machines, abstract state machine, abstract algorithms, intelligent machines, abstract framework, abstract algebra, abstract data structures, finite state machines, neural turing machines, abstract data types"
abstract state machine,"abstract state machines, abstract machines, finite state machines, state machines, state machine, state machine operating, abstract algorithms, abstract framework, abstract data structures, turing machine"
abstract state machines,"abstract state machine, abstract machines, finite state machines, state machines, state machine, state machine operating, intelligent machines, abstract algorithms, support-vector machines, support vector machines"
accelerated processing unit,"processing unit, processing power, central processing unit, graphics processing unit, batch processing, autonomous processing nodes, signal processing, semiautomatic data processing systems, image processing, complex event processing"
acoustic model,"mathematical model, language model, pronunciation model, statistical language model, structured model, geometrical model, statistical model, generative model, osi model, statistical model comparison"
activation function,"activation functions, function interaction, objective function, membership function, basic function, function abstraction, transition function, continuous function, linear objective function, continuous unimodal function"
activation functions,"activation function, evaluation functions, complex functions, main functions, math functions, sigmoid functions, empirical orthogonal functions, fold functions, hash functions, polynomial functions"
active networking,"traditional computer networking, autonomic networking, delay-tolerant networking, tolerant networking algorithms, synchronous optical networking"
adaptive equalizer,"adaptive equalizers, adaptive filters, adaptive predictive coding, adaptive huffman coding"
adaptive equalizers,"adaptive equalizer, adaptive filters, adaptive predictive coding, adaptive huffman coding"
adaptive filters,"digital filters, adaptive equalizer, adaptive equalizers, adaptive predictive coding, composition filters, adaptive huffman coding"
adaptive huffman coding,"huffman coding, adaptive predictive coding, adaptive filters, coding theory, adaptive equalizer, adaptive equalizers, temporal coding, range coding"
adaptive predictive coding,"adaptive huffman coding, adaptive filters, predictive analytics, predictive model, adaptive equalizer, adaptive equalizers, model predictive control"
address pool,"ip address pool, ipv6 address pool, address space, ip address, virtual address space, mac address, virtual memory address space"
address space,"virtual address space, virtual memory address space, code space, ip address, address pool, problem space, ip address pool, mac address, state space, stack space"
adjacency list,"adjacency list data structure, adjacency matrix, array list, linked list, doubly linked list, unrolled linked list"
adjacency list data structure,"adjacency list, adjacency matrix, data structure, data structures, abstract data structures, structured data, structured data sets, arbitrary data structures, search data structure, data sets"
adjacency matrix,"adjacency list, adjacency list data structure, system matrix, inverse matrix, matrix operations, degree matrix, matrix decomposition, matrix algorithms, matrix decompositions, circulant matrix"
adjacent vertices,"neighbouring vertices, child vertices"
advanced computing environment,"distributed computing environment, computing resources, soft computing, computing machinery, distributed computing, scientific computing, computing power, numerical computing programs, bio-inspired computing, human-centered computing"
advanced encryption standard,"data encryption standard, encryption algorithm, certificate-based encryption, deterministic encryption scheme, deterministic encryption schemes, deterministic encryption, probabilistic encryption scheme, disk encryption software, public key encryption models, disk hardware encryption"
advanced message queuing protocol,"internet protocol suite, server message block, industrial protocol, file exchange protocol, dynamic host configuration protocol, wireless routing protocol, minimum message length, message authentication codes, error message"
affective computing,"biologically inspired computing, human-centered computing, advanced computing environment, scientific computing, bio-inspired computing, computing power, computing resources, distributed computing environment, computing machinery, statistical computing"
ai alignment,manifold alignment
ai control problem,"control theory, fuzzy control systems, fuzzy control system, model predictive control, stochastic optimal control, stochastic control, revision control software, optimization problem, linear quadratic gaussian control, optimality problem"
algebraic theories,"dimensional theories, cognitive theories"
algorithm design technique,"algorithmic design, algorithmic mechanism design, algorithm theory, optimization algorithm, learning algorithm, support vector machines algorithm, polynomial time algorithm, supervised learning algorithm, online algorithm, design pattern"
algorithm theory,"algorithmic information theory, algorithm design technique, algorithmic complexity theory, optimization theory, learning algorithm, polynomial time algorithm, approximation algorithm, greedy algorithm, deterministic algorithm, thomas algorithm"
algorithmic assignment,
algorithmic complexity theory,"computational complexity theory, complexity theory, computational complexity, algorithmic information theory, algorithm theory, time complexity, complexity bounds, algorithmic paradigm, optimization theory, kolmogorov complexity"
algorithmic design,"algorithmic mechanism design, algorithm design technique, design patterns, design pattern, design problem, object-oriented design, Software design pattern, application design, software design, industrial design"
algorithmic information theory,"algorithm theory, algorithmic paradigm, algorithmic complexity theory, information theory, information architecture, optimization theory, quantum information theory, information system, computational learning theory, systems theory"
algorithmic mechanism design,"algorithmic design, algorithm design technique, design pattern, design problem, design patterns, object-oriented design, Software design pattern, application design, User interface design, user interface design"
algorithmic paradigm,"algorithmic information theory, algorithmic complexity theory, programming paradigm, intelligent agent paradigm"
ambient networks,"terrestrial networks, sensor networks, directed networks, heterogeneous networks, progressive networks, generative adversarial networks, semantic networks, router networks, artificial neural networks, neural networks"
amdahl's law,"de morgan's law, fitts's law"
analog filters,"composition filters, analog signal, analog recording"
analog recording,"analog signal, analog filters"
analog signal,"digital signal, analog recording, signal generation, signal processing, digital signal processing, analog filters, input signal"
analog-to-digital converter,
analytic hierarchy process,"analytical hierarchy process, analytical hierarchy, computational process, process optimization software, gaussian process, stochastic process, continuous-time Markov process, dirichlet process"
analytical hierarchy,"analytical hierarchy process, analytic hierarchy process"
