Phrase,Neighbours
#NAME?,"name hints, name entered, early name, name rather, file name, name givens rotation, name positive matrix factorization"
0 - sparse graphs,"1 - sparse graphs, 6 - sparse graph, sparse graph, k - sparse graphs, sparse grids, sparse grid, sparse structure, symmetric sparse matrix, sparse approximation, using adaptive sparse grids"
000 testing images,"000 training images, 250 million images, process digital images, google images, past testing, complex images, since images, adjusted significance testing, perioperative testing, images representing letters"
000 training images,"training various image processing systems, 000 testing images, training data, labeled training data, entire training data set, training set, 250 million images, training time, neural networks training, process digital images"
1  became important,"important part, becoming increasingly important, particularly important, important example, important role, important examples, important function, one extremely important characteristic, important task, important role since non"
1 - sparse graphs,"0 - sparse graphs, 6 - sparse graph, k - sparse graphs, sparse graph, sparse grids, sparse grid, 1 - tight graphs, sparse structure, symmetric sparse matrix, large sparse matrices"
1 - tight graphs,"3 - tight graphs, 1 - sparse graphs, corresponding graphs, simple directed graphs, 0 - sparse graphs, directed graphs, directed graphs without loops, allows directed graphs, allow directed graphs"
1 architectural view model,"structured model, view either, associated view, graphical model, semi-structured model, geometrical model, directed graphical model, idealized model, model context, physical model"
1 basic linear algebra subroutines,"basic linear algebra subroutines, basic linear algebra subprograms, basic linear algebra, linear algebra, numerical linear algebra, applied linear algebra, fortran basic linear algebra subprograms, performing common linear algebra operations, numerical linear algebra uses properties, numerical linear algebra aims"
1 cache misses,"cache misses occur, different cache memory, different cache block, cpu cache, cache model used, cache coherence, called cache coherence, 1  became important"
1 computer graphics system,"computer graphics, graphics system, computer graphics need, 3d computer graphics, graphics system may combine, computer systems, graphics processing unit, information graphics, 3d core graphics system, digital computer"
1 symmetric functions,"symmetric functions, commonly encountered symmetric functions, symmetric polynomials, symmetric term, symmetric interpretations, symmetric level, symmetric boolean functions, also symmetric boolean functions, simpler functions, symmetric boolean function"
17 without rounding,"n runs without, without input, without encryption padding, clarify overall concepts without concern, directed graphs without loops, without routing, functions without, hand without drawing unnecessary attention, inserted without deletion, workspace without"
1956  quasiharmonic modes,two modes
1973 nbs solicited private industry,"industry consortium, data processing industry"
1975 distributed artificial intelligence emerged,"distributed artificial intelligence, distributed artificial intelligence systems, artificial intelligence, artificial intelligence concerned, artificial intelligence research dedicated, use artificial intelligence, artificial intelligence laboratory, traditional artificial intelligence, also called decentralized artificial intelligence, symbolic artificial intelligence"
1985 provided simulations,"simulations show, computer intensive simulations, md simulations, switching circuit theory provided, operator overloading facilities provided, redundancy provided, specific types provided, current clarity data provided, password provided"
1987  empirical component analysis,"principal component analysis, data analysis, principal component analysis  eckartyoung theorem, structural analysis employs, system level analysis, structural analysis, structured analysis, combinatorial data analysis, component parts, oriented analysis"
1987 ai magazine article,"article published, article deals, leading ai textbooks define, existing weak ai, spectre ai incorporated, ai alignment, emotion ai, build ai systems, ai control problem, ai control problem might"
1989 stochastic diffusion search,"stochastic diffusion search, stochastic process, stochastic gradient descent, stochastic optimization, solve stochastic problems, stochastic version, stochastic differential equations, stochastic matrix, stochastic control, operations research uses stochastic programming"
1991 left mips ii,"first mips iii implementation, mips ii implementations, mips computer systems, mips architecture, bit mips iii architecture, first mips implementation, early mips architectures, bit mips processors, bit mips architecture, often left"
1996  evolutionary algorithms,"evolutionary algorithms, evolutionary algorithms applied, many evolutionary algorithms, evolutionary computation, genetic algorithms, evolutionary approach, evolutionary programming, time genetic algorithms within, possible algorithms, various algorithms"
1996 maiden flight,"1996 paper written, 1996  evolutionary algorithms"
1996 paper written,"original 1924 paper, paper gives, research paper published, research paper, survey paper, protection paper, paper explicitly addressing transfer learning, instead written generically, 1996 maiden flight, 1996  evolutionary algorithms"
1997 raised questions,questions emerging
19mips computer systems,"computer systems, computer programs, computer processors, computer architectures, computer hardware unit, computer using, computer architecture, different computer platforms without, required computer capabilities explains, digital computer"
2 define generic models,"generic concept, generic programming approach, generic functions implemented, generic programming, generic process, models need, obtain generic algorithms, reference models, generative models, generalized additive models"
2 fuzzy ontology,"specific ontology consisting, fuzzy system independently, fuzzy set, fuzzy description logics, fuzzy set defined, fuzzy systems, fuzzy markup language, investigated fuzzy control, fuzzy class, fuzzy markup language edited"
2000s era music reproduction technology,"music processing, digital music files, effective music visualization aims, music visualization may, electronic music visualizers, modern technology, generated music plus visualization combinations, music videos, example music videos, underlying technology"
2007  algorithmic mechanism design,"algorithmic mechanism design, algorithmic mechanism design differs, algorithmic design, algorithm design technique, algorithmic paradigm, algorithmic information theory, algorithmic assignment, design systems, systems design, design principle"
2010 lexus hs 250h,"2010 lexus rx 350, lexus rx 450h models, lexus cars, lexus interiors"
2010 lexus rx 350,"2010 lexus hs 250h, lexus rx 450h models, lexus cars, lexus interiors"
2012 information technology common language infrastructure,"common language infrastructure, common language infrastructure standards, language specification, information technology, natural language processing, information system, information architecture, information technology methods, language model, hardware description language"
2016  digital empathy,"digital empathy, digital empathy finds, digital empathy define digital empathy, empathy compassion, support digital research, digital data, digital information, similar digital, alliance of digital humanities organizations, digital network"
2021 video narrated,"video lecture, video sequence, video game rehabilitation benefit, video game rehabilitation focuses, amazon prime video"
20th century,20th century popular cryptography books e
20th century popular cryptography books e,"20th century, many popular memory allocators, many popular primality tests, popular alternative, popular methods, popular implementation, popular method, popular example, popular search query, popular modelviewcontroller architecture"
21st century,21st century also
21st century also,"21st century, also come, also influential, also discussed, also known, also used, also pondered, also use, also referred, also reveal"
250 million images,"000 testing images, complex images, 000 training images, google images, since images, images representing letters, process digital images, plessey system 250"
257 zilog z8001 microprocessors,"bit microprocessors, order execution microprocessors"
264 decoders always support quarter,"always simplified, also support, explicit support, squares support, always show, almost always subject, using support, always expected, always done, support vector machines allow"
3 - tight graphs,"1 - tight graphs, corresponding graphs, 1 - sparse graphs, directed graphs, simple directed graphs, directed graphs without loops, allows directed graphs, 0 - sparse graphs, allow directed graphs, special database 3"
3d computer graphics,"rendering realistic 3d computer graphics, computer graphics, 3d core graphics system, computer graphics need, graphics system, 1 computer graphics system, graphics processing unit, information graphics, motion graphics design, 3d user interaction"
3d coordinate system,"3d core graphics system, coordinate systems via diffeomorphisms, coordinate systems transformed, graphics system, gps navigation system screen, 1 computer graphics system, 3d user interaction system, computational system, linear system, graphics system may combine"
3d core graphics system,"3d computer graphics, rendering realistic 3d computer graphics, graphics system, computer graphics, 1 computer graphics system, 3d coordinate system, computer graphics need, graphics processing unit, graphics system may combine, motion graphics design"
3d user interaction,"3d user interaction techniques, 3d user interaction system, 3d user interaction systems, mixed reality user interfaces workshop, computer interaction, humancomputer interaction, user interfaces, user interface, interaction designs, user interface structure"
3d user interaction system,"3d user interaction systems, 3d user interaction, 3d user interaction techniques, mixed reality user interfaces workshop, computer interaction, user interfaces, user interface, humancomputer interaction, user interface structure, user interface software"
3d user interaction systems,"3d user interaction system, 3d user interaction, 3d user interaction techniques, mixed reality user interfaces workshop, computer interaction, user interfaces, user interface, humancomputer interaction, user interface structure, interaction designs"
3d user interaction techniques,"3d user interaction, 3d user interaction system, 3d user interaction systems, mixed reality user interfaces workshop, user interfaces, computer interaction, interaction designs, humancomputer interaction, user interface, similar disciplines like interaction design"
3rd generation mobile networks,"future mobile, mobile computing devices, several real networks, mobile ad hoc networks, progressive networks, heterogeneous networks, networks performing, directed networks, ambient networks comes, ambient networks"
6 - sparse graph,"sparse graph, 1 - sparse graphs, 0 - sparse graphs, k - sparse graphs, sparse grid, sparse grids, sparse structure, finite graph, finite simple graph, sparse matrix given"
6 lightweight cryptography,"based cryptography, quantum cryptography, lightweight software, lightweight formal methods, lightweight application, sometimes called lightweight markup languages, 6 - sparse graph"
6th dimensions,"two dimensions, cognitive dimensions"
815both types,"many hypothesized types, many types, various types, specific types, different types, two types, specific types provided, build three types, nullable types, abstract data types"
98 standard test methods,"standard problems solved, open standard developed, formal methods, several methods, methods may, effective methods exist, numeric methods, american standard code, using formal methods, standard low"
aaai press,"mit press, cambridge university press"
abbreviated 6nf,"usually abbreviated, often abbreviated, often abbreviated sm, often abbreviated data viz"
abelian geometric phases,"several phases, multiple phases, abelian statistics, geometric variation inferred, Geometric modeling, equilibrium phases, metastable phases, geometric median minimizes euclidean distances"
abelian statistics,"abelian geometric phases, computational statistics, though computational statistics, descriptive statistics, statistics community, shape statistics, fermi statistics, fractional statistics, teaching computational statistics"
absolute certainty,"absolute stability, absolute value, absolute position"
