Phrase,Neighbours
2007  algorithmic mechanism design,"algorithmic mechanism design, algorithmic design, algorithm design technique, design problem, design pattern, design patterns, object-oriented design, application design, Software design pattern, User interface design"
3d computer graphics,"computer graphics, 3d coordinate system, graphics processing unit, information graphics, 3d user interaction, 3d user interaction system, 3d user interaction systems, 3d user interaction techniques, computer vision, digital computer"
3d coordinate system,"3d computer graphics, 3d core graphics system, graphics system, 3d user interaction system, 3d user interaction systems, computational system, 3d user interaction, linear system, system matrix, inverse system"
3d core graphics system,"graphics system, 3d coordinate system, graphics processing unit, 3d user interaction system, core processor, core algorithms, single core processors, single core cpu, computational system, software system"
3d user interaction,"3d user interaction techniques, 3d user interaction system, 3d user interaction systems, computer interaction, humancomputer interaction, user interfaces, user interface, user interface structure, User interface design, user interface design"
3d user interaction system,"3d user interaction systems, 3d user interaction, 3d user interaction techniques, computer interaction, user interfaces, user interface, humancomputer interaction, user interface software, User interface design, user interface design"
3d user interaction systems,"3d user interaction system, 3d user interaction, 3d user interaction techniques, computer interaction, humancomputer interaction, 3d computer graphics, chi-square automatic interaction detection, function interaction, embedded systems, 3d coordinate system"
3d user interaction techniques,"3d user interaction, 3d user interaction system, 3d user interaction systems, user interfaces, computer interaction, humancomputer interaction, user interface, user interface structure, User interface design, user interface design"
abstract algebra,"linear algebra, relational algebra, abstract algorithms, numerical linear algebra, computer algebra, abstract data types, abstract framework, abstract data type, abstract machines, computer algebra systems"
abstract algorithms,"efficient algorithms, abstract machines, online algorithms, core algorithms, abstract algebra, approximation algorithms, evolutionary algorithms, abstract framework, standard computer algorithms, distributed algorithms"
abstract data structures,"data structures, arbitrary data structures, data structure, data abstraction, abstract data types, structured data, abstract data type, structured data sets, abstract graphical data type, abstract framework"
abstract data type,"abstract data types, abstract graphical data type, abstract data structures, data abstraction, abstract framework, data type, primitive data types, abstract document pattern, abstract algebra, structured data"
abstract data types,"abstract data type, abstract graphical data type, abstract data structures, data abstraction, abstract framework, data type, primitive data types, abstract document pattern, abstract algebra, structured data"
abstract document pattern,"document pattern, abstract framework, abstract data type, abstract data types, abstract data structures, abstract algebra, abstract algorithms, abstract graphical data type, abstract machines, pattern language"
abstract framework,"abstract data type, abstract document pattern, abstract data types, abstract data structures, abstract machines, computational framework, extensible text framework, abstract algorithms, runtime framework, abstract state machine"
abstract graphical data type,"abstract data type, abstract data types, abstract data structures, data abstraction, data type, abstract framework, graphical model, primitive data types, data visualization, structured data"
abstract machines,"abstract state machines, abstract state machine, abstract algorithms, intelligent machines, abstract framework, abstract algebra, abstract data structures, finite state machines, neural turing machines, abstract data types"
abstract state machine,"abstract state machines, abstract machines, finite state machines, state machines, state machine, state machine operating, abstract algorithms, abstract framework, abstract data structures, turing machine"
abstract state machines,"abstract state machine, abstract machines, finite state machines, state machines, state machine, state machine operating, intelligent machines, abstract algorithms, support-vector machines, support vector machines"
accelerated processing unit,"amd accelerated processing unit, amd accelerated processing units, processing unit, processing power, central processing unit, graphics processing unit, batch processing, bit central processing unit, autonomous processing nodes, signal processing"
